FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,IMAGEURL
Scott Adams,"6' 0""",225 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/2620f3eb21c79614,
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/83b00f7597e5ac83,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69687/profile-galery/fullbodyleft-picture/ADAMS_JUAN_L.png?VersionId=a1XiJQRN_l1IA0G0dW5ccZhOzl6Gnxml&itok=qM-eurjs
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/a77633a989013265,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/ed39dee9-3044-4ad1-a217-4587a85234b6%252FADAMS_ANTHONY_L_CS.png?itok=ico6zXp-
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71630%252Fprofile-galery%252Ffullbodyleft-picture%252FADASHEV_ZARRUKH_L_05-08.png?itok=SejxzLdh
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",http://ufcstats.com/fighter-details/1338e2c7480bdf9e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/ADESANYA_ISRAEL_L_04-08.png?itok=FOMzxCwD
Sam Adkins,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",http://ufcstats.com/fighter-details/0e9869d712e81f8f,
Nick Agallar,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",http://ufcstats.com/fighter-details/a08ddd04eaffd81d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8d8cdf5b-a8fc-4d06-8658-a1780c10f239%252FAGAPOVA_MARIYA_L_03-05.png?itok=xaIMovDS
Marcelo Aguiar,"5' 10""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/44aa652b181bcf68,
Fabio Aguiar,"6' 0""",185 lbs.,--,,"Feb 10, 1988",http://ufcstats.com/fighter-details/501821d7fb7b95c1,
Edwin Aguilar,"5' 10""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",http://ufcstats.com/fighter-details/8f382b3baa954d2a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Jessica_Aguilar/AGUILAR_JESSICA_L.png?VersionId=u4Bhw7DC8WEfwM7pt2FUHKOw2N_JjbnF&itok=7N9VR2jp
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",http://ufcstats.com/fighter-details/cf946e03ba2e7666,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71419%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILAR_KEVIN_L_05-15.png?itok=UrBDfaFz
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",http://ufcstats.com/fighter-details/ae071698e1a3ccd4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71629%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILERA_CHRISTIAN_L_05-08.png?itok=ABl9zQLh
Mike Aina,"5' 9""",155 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,
Hitomi Akano,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",http://ufcstats.com/fighter-details/2eada40ac8801559,
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",http://ufcstats.com/fighter-details/16690d100f995f8f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/68949%252Fprofile-galery%252Ffullbodyleft-picture%252FAKHMEDOV_OMARI_L_07-10.png?itok=775XAhGx
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",http://ufcstats.com/fighter-details/b0550072e5f0afa7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69542/profile-galery/fullbodyleft-picture/Yoshihiro-Akiyama_1044_LeftFullBodyImage.png?VersionId=RUae1jr6ZXoXCdoQQf6Q611OPR_c96l0&itok=0_tzggGB
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",http://ufcstats.com/fighter-details/1fc64507a0cb38cf,
Razak Al-Hassan,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",http://ufcstats.com/fighter-details/38b50fd1e1b5b656,
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",http://ufcstats.com/fighter-details/1cf1310684a841f5,
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",http://ufcstats.com/fighter-details/7578cc6bd750206b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/10e818b5-0ad1-400e-8f07-91c0717f7a60%252FALACABEK_HERDEM_L.png?itok=lW7YzBcv
Javi Alanis,"5' 6""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/2144954270be834d,
Alatengheili,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",http://ufcstats.com/fighter-details/1897b7b913736a7c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-04/HEILI_ALATENG_L_09-18.png?itok=i99joWRE
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ALBAZI_AMIR_L_06-03.png?itok=JaNXVxm3
Brett Albee,--,225 lbs.,--,,--,http://ufcstats.com/fighter-details/9b28292abe3166d5,
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",http://ufcstats.com/fighter-details/7bd94b60d7521e4a,
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",http://ufcstats.com/fighter-details/c482c8605455a213,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/junior_albini/ALBINI_JUNIOR_L.png?VersionId=_pkIrcY5IZrB.DUvzPk7J1daug2p8gSS&itok=_BJuhJ-n
Wes Albritton,"5' 10""",188 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/184b955181bdef52,
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",http://ufcstats.com/fighter-details/e76d9f656ceb82ab,
Israel Albuquerque,--,185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/dd1b90eea08887f6,
Juan Alcain,--,--,--,,--,http://ufcstats.com/fighter-details/39f62b833e4cf126,
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68134/profile-galery/fullbodyleft-picture/Iuri-Alcantara_135403_LeftFullBodyImage.png?itok=mwz7gzx4
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",http://ufcstats.com/fighter-details/7c6e87729e824ef4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/4bf9c4d8-f416-4ac2-9bff-296d52fbf663%252FIldemar-Alcantara_299105_LeftFullBodyImage.png?itok=AWIQhX01
Alfonso Alcarez,"5' 3""",145 lbs.,--,,"Jun 10, 1970",http://ufcstats.com/fighter-details/1e38bba6738b7b10,
Gilbert Aldana,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",http://ufcstats.com/fighter-details/d26934530dc5b248,
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/578ef12674df1e6a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-12/ALDANA_IRENE_L_12-16.png?itok=9DZrEaKz
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",http://ufcstats.com/fighter-details/c487223b0289bda9,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68080/profile-galery/fullbodyleft-picture/ALDANA_HECTOR_L.png?VersionId=7Y_3Ma4smBzA0_a45Vlw08GDGYXLCaOV&itok=OuUz0vqx
Jose Alday,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",http://ufcstats.com/fighter-details/7460ddef986d3144,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/68357%252Fprofile-galery%252Ffullbodyright-picture%252FALDAY_JOSE_R.png?itok=iZeIEVPm
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",http://ufcstats.com/fighter-details/d0f3959b4a9747e6,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/d44b164d-b5ae-4594-959e-12a7d6343803%252FALDO_JOSE_L_12-04.png?itok=Q4ck0MXP
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",http://ufcstats.com/fighter-details/6fd953151d981979,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ALDRICH_JJ_L_03-11.png?itok=SpFUyGC0
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",http://ufcstats.com/fighter-details/fe5a9547479396ab,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/edc96865-801b-4923-9ff3-b60d558a4ff9%252FJim-Alers_474973_LeftFullBodyImage.png?itok=dQRE9zyg
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",http://ufcstats.com/fighter-details/7a15f3694c5cbc02,
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",http://ufcstats.com/fighter-details/0541480fbf719d86,
Kenneth Alexander,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",http://ufcstats.com/fighter-details/d53482bef23235ba,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/SHADOW_Fighter_fullLength_RED.png?VersionId=niQpXmYT1tbiETIDAxTsCI5FDbiNt9kI&itok=Wcqi-8Me
Olaf Alfonso,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",http://ufcstats.com/fighter-details/b757c73f443d4fca,
Pablo Alfonso,"5' 8""",145 lbs.,--,,"May 09, 1983",http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,
Levi Alford,--,--,--,,--,http://ufcstats.com/fighter-details/41b34b7f11f6d085,
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",http://ufcstats.com/fighter-details/9abc648e76c4493a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/ALGEO_BILL_L_03-30.png?itok=jdS-1KFF
Royce Alger,"5' 10""",199 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/669a3cb6e394f515,
Amir Aliakbari,"6' 3""",250 lbs.,--,,"Jun 10, 1984",http://ufcstats.com/fighter-details/e17770faae3ca54c,
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",http://ufcstats.com/fighter-details/e70de1859b7ee78e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2019-04/ALIEV_SULTAN_L.png?VersionId=Jhe1yv6BwPs3HNt_BkPn8KmK0YcURYuW&itok=k6UUB_7Z
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",http://ufcstats.com/fighter-details/6ebe96a116e79e52,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/69719%252Fprofile-galery%252Ffullbodyleft-picture%252FALLAN_JOHN_L_11-06.png?itok=Gli1O23T
George Allen,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",http://ufcstats.com/fighter-details/1e13936d708bcff7,
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",http://ufcstats.com/fighter-details/040a74bb0a465c54,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/ALLEN_ARNOLD_L_01-20.png?itok=WkWIz-Ry
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",http://ufcstats.com/fighter-details/2f181c0467965b98,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-04/ALLEN_BRENDAN_L_04-06.png?itok=TUsWoqqv
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",http://ufcstats.com/fighter-details/91186547a7f3f758,
Magno Almeida,"6' 0""",155 lbs.,--,,"Jun 06, 1985",http://ufcstats.com/fighter-details/d615d6a10a4704cd,
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",http://ufcstats.com/fighter-details/2b074403b7c6cdb4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-10/69367%252Fprofile-galery%252Ffullbodyleft-picture%252FALMEIDA_THOMAS_L_10-17.png?itok=x3-TKgAJ
Ericka Almeida,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",http://ufcstats.com/fighter-details/67a992d4cff22466,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-03/ericka-almeida_532043_LeftFullBodyImage.png?VersionId=hVSSibP5p25TjOjsfrTBP.bcOJ3t77up&itok=lI7o6gP6
Estefani Almeida,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",http://ufcstats.com/fighter-details/f16ddfa31236efed,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Fighter_fullLength_Shadow-woman-blue.png?VersionId=SaZSiHq6Es28JDi9_jfSTmRNG4l_XkBS&itok=DWjj5ONS
Jailton Almeida,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991",http://ufcstats.com/fighter-details/41e83a89929d1327,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/ALMEIDA_JAILTON_L_11-04.png?itok=8KgwwZJ8
Lucas Almeida,"5' 11""",155 lbs.,"71""",Orthodox,"Jan 13, 1991",http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ALMEIDA_LUCAS_L_06-17.png?itok=A5_-qla2
Mauricio Alonso,"6' 2""",170 lbs.,--,,"Feb 27, 1980",http://ufcstats.com/fighter-details/c6bf75775b278ed8,
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",http://ufcstats.com/fighter-details/49b130de1da2e1bf,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71473/profile-galery/fullbodyleft-picture/ALPAR_SARAH_L_09-19.png?itok=bxhnNiNw
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-10/71683%252Fprofile-galery%252Ffullbodyleft-picture%252FALQAISI_ALI_L_08-08.png?itok=1gCFMhbe
Rico Altamirano,"5' 10""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,
Victor Altamirano,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",http://ufcstats.com/fighter-details/dc7927cd622676a7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/ALTAMIRANO_VICTOR_L_02-24.png?itok=XwgliCVJ
Mike Altman,"5' 10""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/c11036da9162cb5f,
Sean Alvarez,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",http://ufcstats.com/fighter-details/e741536153227386,
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",http://ufcstats.com/fighter-details/33a331684283900f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67873/profile-galery/fullbodyleft-picture/eddie-alvarez_498601_LeftFullBodyImage.png?itok=SEiwPFxf
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",http://ufcstats.com/fighter-details/4438482bd1d5a029,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/b0abf801-526d-462e-9ba0-63f9c6067a01%252FJamie-Alvarez_635980_LeftFullBodyImage.png?itok=UZ0Sg0xs
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",http://ufcstats.com/fighter-details/58bbef3770bb2dfc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/ALVAREZ_JOEL_L_07-22.png?itok=JgkvhZn7
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2019-01/ALVES_THIAGO_L.png?VersionId=_iXg0Zp.wNih3AwI7LIRzu9dvtBESmRn&itok=bpPsB6RG
Anthony Alves,--,--,--,,--,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,
Amilcar Alves,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/ALVES_WARLLEY_L_01-19.png?itok=a_bGIUZf
Rafael Alves,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",http://ufcstats.com/fighter-details/029afd138865d20a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/ALVES_RAFAEL_L_02-25.png?itok=MIeQCvO8
Sam Alvey,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",http://ufcstats.com/fighter-details/d156513a19acf856,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-08/ALVEY_SAM_L_08-06.png?itok=tDrUFHnP
Andre Amado,"6' 0""",154 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/20821819c401ced8,
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",http://ufcstats.com/fighter-details/1e327b281ef6a745,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67151/profile-galery/fullbodyleft-picture/Adlan-Amagov_242025_LeftFullBodyImage.png?VersionId=K9XOpIQD6YOiC_x6vRThCH756JI2QeXT&itok=pvlJuEPs
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",http://ufcstats.com/fighter-details/247fbbfafea60bb1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Fighter_fullLength_Shadow-woman-blue.png?VersionId=SaZSiHq6Es28JDi9_jfSTmRNG4l_XkBS&itok=DWjj5ONS
Chris Amarante,--,185 lbs.,--,,--,http://ufcstats.com/fighter-details/ee0b69e307c857e5,
Jimmy Ambriz,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",http://ufcstats.com/fighter-details/c912f676692c353a,
JJ Ambrose,"5' 10""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/d562b12b8fe88336,
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/67201%252Fprofile-galery%252Ffullbodyleft-picture%252FAMEDOVSKI_ALEN_L_07-10.png?itok=youU6I2T
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",http://ufcstats.com/fighter-details/87a1dc546b1c5caf,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-07/aeac1376-60de-48f9-983f-c13d3d58d52e%252FAMIRKHANI_MAKWAN_L_03-19.png?itok=0RttlM_e
Bertrand Amoussou,"5' 8""",190 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/53adf5b845d91e4a,
Karl Amoussou,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",http://ufcstats.com/fighter-details/23a8c33869bf5392,
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",http://ufcstats.com/fighter-details/cad24459b28592ca,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/ANDERS_ERYK_L_03-02.png?itok=nO-JsiYR
Matt Andersen,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",http://ufcstats.com/fighter-details/8738eacd62e82a32,
Andy Anderson,"5' 6""",240 lbs.,--,,"Jul 16, 1974",http://ufcstats.com/fighter-details/9199e0735b83dd32,
Lowell Anderson,"5' 6""",160 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/1ffc38f67785797b,
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",http://ufcstats.com/fighter-details/5e4eec08896c9423,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-02/ANDERSON_COREY_L.png?VersionId=.CDYKJ1oE6XrUF64Z67E0wo20v4GTQ39&itok=ZjcXA3px
Derek Anderson,"6' 0""",155 lbs.,--,,"Feb 02, 1990",http://ufcstats.com/fighter-details/19ba965651486013,
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-03/68788%252Fprofile-galery%252Ffullbodyleft-picture%252FANDERSON_MEGAN_L_03-06.png?itok=xHtxrVFj
Alex Andrade,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",http://ufcstats.com/fighter-details/1562b12763cc8d67,
Jessica Andrade,"5' 1""",125 lbs.,"62""",Orthodox,"Sep 25, 1991",http://ufcstats.com/fighter-details/6a1901c62ab3870f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/ANDRADE_JESSICA_L_11-11.png?itok=A7bxLdGN
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",http://ufcstats.com/fighter-details/d221ee27afc7a60e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/fbb2d8f4-78ea-4f3c-8d1c-9a7f9a5c4ff1%252Fviscardi-andrade_309084_LeftFullBodyImage.png?itok=BhEvUhZM
Jermaine Andre,"5' 7""",200 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9bad58fa651d6196,
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",http://ufcstats.com/fighter-details/00debc804e2b1cd4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/fd3953b6-6bd3-4aec-aca2-4955bc363963%252FDylan-Andrews_307105_LeftFullBodyImage.png?itok=KDxENtPP
Reese Andy,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",http://ufcstats.com/fighter-details/46e2ca71fd5089cb,
